date,channel,spend,clicks,impressions
2023-02-16,fb_ads,,211,2321
2023-04-17,googleads,3476.35,216,3672
2023-01-10,Facebook Ads,,137,2740
2023-02-05,Email,7343.62,319,1914
2023-06-21,Email,3367.69,83,664
2023-06-08,Facebook Ads,5603.92,156,2028
2023-02-24,googleads,8737.21,202,3838
2023-06-04,Email,3395.6,108,1296
2023-03-07,Organic,7179.81,154,2926
2023-01-30,googleads,5087.66,276,1380
2023-04-27,fb_ads,4031.48,196,980
2023-06-01,Google Ads,4966.86,254,2032
2023-06-02,Email,,182,3458
2023-03-26,fb_ads,5127.3,170,3230
2023-01-06,Email,2044.78,220,1320
2023-05-05,email_marketing,8784.38,129,903
2023-04-19,googleads,3453.94,130,1300
2023-04-05,fb_ads,,235,3290
2023-05-25,Google Ads,,126,1512
2023-02-04,Google Ads,5184.75,74,592
2023-06-28,Email,5286.85,269,4842
2023-01-18,Email,2497.6,77,1309
2023-01-08,fb_ads,8158.88,151,755
2023-03-20,Google Ads,7271.9,187,2805
2023-05-07,googleads,,235,3055
2023-04-16,Email,3232,210,3150
2023-06-19,email_marketing,4237.02,94,1222
2023-02-23,email_marketing,5674.96,178,3026
2023-05-11,email_marketing,4685.95,103,721
2023-03-31,googleads,,270,3780
2023-02-26,Facebook Ads,6928.31,175,3500
2023-05-26,googleads,,356,3916
2023-05-19,Google Ads,4877.8,140,840
2023-06-09,Email,5833.6,293,3516
2023-04-14,Facebook Ads,4953.9,302,2114
2023-05-31,email_marketing,7166,113,565
2023-06-20,googleads,3652.42,276,4692
2023-03-18,Organic,425.23,188,2820
2023-02-27,Email,,161,2737
2023-05-27,Email,4402.36,171,1197
2023-05-21,Organic,3895.48,112,560
2023-02-16,fb_ads,9583.82,349,2792
2023-02-05,fb_ads,2675.87,326,3912
2023-06-29,googleads,4201.07,210,1890
2023-02-21,Organic,,147,2646
2023-04-30,Google Ads,6967.7,210,3570
2023-02-19,Organic,4046.9,95,1045
2023-01-27,Organic,3212.81,68,1360
2023-01-08,Organic,5024.45,104,1664
2023-06-14,Facebook Ads,4468.88,309,1545
2023-04-27,email_marketing,7398.6,197,2167
2023-02-15,Google Ads,4825.83,350,2800
2023-02-21,email_marketing,6041.51,173,2595
2023-04-12,Google Ads,2147.96,231,3234
2023-03-17,Google Ads,6658.65,149,894
2023-05-30,Email,5582.41,170,3400
2023-03-19,googleads,4631.94,0,0
2023-02-13,googleads,4556.44,277,5540
2023-06-09,Google Ads,,204,1632
2023-04-30,Facebook Ads,3488.1,228,4104
2023-01-11,fb_ads,4566.95,124,1984
2023-03-02,Google Ads,7665.1,274,2740
2023-01-02,Google Ads,3790.19,239,4302
2023-04-14,Organic,6074.82,251,4016
2023-02-18,googleads,1611.49,280,1680
2023-01-06,email_marketing,3860.6,171,2394
2023-03-13,fb_ads,10275.76,224,1120
2023-05-14,Facebook Ads,,23,345
2023-01-20,googleads,7779.53,92,1564
2023-03-17,Facebook Ads,2993.12,173,865
2023-03-02,googleads,7832.82,261,1566
2023-05-16,Facebook Ads,4684.32,224,4256
2023-01-17,Email,3799.23,211,2532
2023-06-05,Facebook Ads,5146.67,277,3601
2023-03-20,googleads,,239,1912
2023-05-31,Google Ads,,259,2331
2023-05-06,fb_ads,4816.06,113,1695
2023-02-24,email_marketing,4193.42,206,3296
2023-06-14,email_marketing,6820.43,185,3700
2023-04-19,googleads,2581.6,204,1020
2023-06-02,googleads,5226.91,214,4066
2023-05-07,Email,6839.74,281,3091
2023-02-24,googleads,3811.58,150,1950
2023-05-07,Facebook Ads,2919.6,255,2295
2023-06-09,Google Ads,7897.64,174,1392
2023-01-16,Google Ads,4517.14,317,6023
2023-03-13,fb_ads,,234,3744
2023-06-15,Google Ads,2618.17,254,4572
2023-06-27,Organic,3141.73,109,872
2023-02-18,fb_ads,4306.46,153,2754
2023-01-04,email_marketing,4556.8,84,1512
2023-01-30,googleads,,290,1450
2023-05-25,Google Ads,1105.32,278,2224
2023-04-28,email_marketing,3378.94,268,1608
2023-04-24,fb_ads,4863.11,202,3030
2023-03-27,Facebook Ads,4629.8,296,4144
2023-05-24,Email,2520.82,248,3720
2023-02-20,Organic,7202.66,257,5140
2023-05-27,googleads,9649.4,157,785
2023-01-24,Email,6914.61,191,955
2023-03-18,Email,7466.81,199,1791
2023-04-15,Google Ads,4224.25,304,4256
2023-01-15,Organic,4016.88,86,1720
2023-05-21,Facebook Ads,,249,2988
2023-01-26,Facebook Ads,7784.08,208,3536
2023-03-17,googleads,7636.39,91,1820
2023-05-09,googleads,,176,2816
2023-03-04,Email,4770.88,206,1648
2023-03-14,fb_ads,6381.82,164,2296
2023-06-30,googleads,5278.06,196,3136
2023-04-25,Facebook Ads,3148.22,190,2850
2023-05-16,googleads,,186,2976
2023-03-30,email_marketing,,206,2678
2023-05-28,Organic,4135.41,301,1505
2023-05-01,email_marketing,2661.04,142,1846
2023-03-05,googleads,10559.93,116,2320
2023-06-26,Organic,2292.49,258,1290
2023-02-05,googleads,845.76,181,1448
2023-03-02,email_marketing,9291.65,76,1444
2023-01-03,email_marketing,1036.07,80,960
2023-06-16,email_marketing,6796.72,289,2601
2023-05-17,Email,3974.82,254,5080
2023-06-23,googleads,,342,6156
2023-06-12,Facebook Ads,,15,135
2023-01-30,Google Ads,,165,2310
2023-01-07,Organic,4482.12,184,3128
2023-06-18,email_marketing,7237.79,301,6020
2023-06-14,fb_ads,4656.65,287,4305
2023-02-05,googleads,5715.32,205,3485
2023-06-13,fb_ads,6813.09,205,4100
2023-04-14,email_marketing,,84,1176
2023-04-24,Email,3969.66,189,2835
2023-06-19,fb_ads,5878.91,301,3010
2023-05-12,email_marketing,4951.2,86,430
2023-03-10,email_marketing,6685.03,260,3120
2023-01-23,fb_ads,1116.28,199,2786
2023-02-17,email_marketing,1819.72,146,1606
2023-01-14,Organic,3194.38,264,4752
2023-01-23,Email,5233.66,97,679
2023-05-27,Email,6760.13,85,680
2023-03-18,Facebook Ads,5660.23,134,2010
2023-04-26,Organic,4268.65,240,3600
2023-05-07,Organic,6042.9,306,1530
2023-03-06,Google Ads,4835.49,224,1344
2023-02-21,googleads,4124.53,214,3638
2023-05-24,fb_ads,5878.97,192,2688
2023-01-18,fb_ads,1392.5,226,2034
2023-06-16,Google Ads,5729.12,145,1740
2023-06-02,googleads,2431.23,318,2226
2023-06-28,email_marketing,5982.89,181,3258
2023-05-29,Google Ads,2725.93,134,1608
2023-03-25,fb_ads,7605.18,211,1477
2023-05-13,Email,,240,4800
2023-06-16,googleads,3371.2,320,2240
2023-01-20,Google Ads,7705.6,162,1134
2023-04-01,Facebook Ads,3742.66,9,45
2023-05-05,Organic,2036.84,92,1196
2023-05-05,Organic,5270.38,173,865
2023-05-23,Google Ads,,177,3540
2023-03-10,fb_ads,6010.67,242,3388
2023-01-06,Organic,1200.66,189,3780
2023-03-04,googleads,2233.32,272,4352
2023-05-04,googleads,,128,2176
2023-01-07,email_marketing,3467.91,163,2445
2023-04-13,googleads,494.41,226,1356
2023-04-29,googleads,4454.31,277,4709
2023-06-04,googleads,2803.18,150,1200
2023-04-04,Organic,1986.95,119,1785
2023-06-30,email_marketing,2636.04,279,2232
2023-04-22,googleads,3603.48,209,3344
2023-04-02,fb_ads,4238.47,98,1078
2023-06-23,Email,4663.4,247,4940
2023-02-04,Facebook Ads,2584.48,264,2904
2023-05-30,Google Ads,3300.56,161,1771
2023-02-06,fb_ads,6061.37,146,1460
2023-03-20,Facebook Ads,5075.15,174,2436
2023-01-02,Facebook Ads,5258.74,9,72
2023-04-05,Facebook Ads,1340.64,249,3735
2023-05-16,Email,,127,2159
2023-06-02,googleads,4511.94,223,4237
2023-02-13,Email,6386.44,37,629
2023-03-23,email_marketing,3227.92,173,3114
2023-05-18,Google Ads,6406.28,399,7980
2023-03-28,email_marketing,4543.99,87,1653
2023-01-06,fb_ads,5804.54,305,2440
2023-01-06,fb_ads,5216.03,127,2032
2023-01-10,googleads,6915.99,253,4554
2023-02-04,googleads,,230,2530
2023-04-16,email_marketing,6994.53,294,4116
2023-01-12,googleads,4867.1,171,855
2023-04-12,Facebook Ads,7454.55,103,2060
2023-04-12,Organic,5877.16,90,1710
2023-01-21,email_marketing,7130.75,179,1969
2023-03-17,email_marketing,7537.17,239,3107
2023-04-24,Organic,2553.56,313,5321
2023-03-01,fb_ads,8102.49,270,4590
2023-03-05,fb_ads,,175,3150
2023-01-02,Organic,5290.85,143,1859
2023-06-09,fb_ads,8384.69,211,4220
2023-05-04,Organic,,227,2951
2023-06-08,Facebook Ads,4303.69,194,970
2023-06-14,Email,4262.76,264,2640
2023-01-22,email_marketing,,222,1776
2023-06-19,Facebook Ads,4321.38,196,3528
2023-02-15,Email,5039.2,135,1215
2023-05-23,Google Ads,6157.86,236,2596
2023-03-08,email_marketing,8080.88,300,1500
2023-03-10,fb_ads,3628.65,265,5300
2023-06-05,googleads,3098.09,255,2805
2023-05-30,Facebook Ads,3966.77,118,708
2023-04-29,Email,5560.09,13,221
2023-02-10,email_marketing,1498.05,185,3145
2023-06-23,Organic,5164.88,170,1360
2023-01-23,googleads,1841.13,134,2010
2023-01-09,googleads,5782.42,246,4674
2023-03-22,Google Ads,4967.55,292,4088
2023-02-15,Google Ads,,140,980
2023-05-29,Google Ads,4439,87,1479
2023-05-05,googleads,4783.72,288,5184
2023-02-14,email_marketing,6370.58,312,3744
2023-06-14,Facebook Ads,4394.23,307,5833
2023-01-30,Facebook Ads,4613.39,317,4755
2023-03-14,Email,4956.29,256,5120
2023-05-10,Organic,,184,2576
2023-05-13,Google Ads,5436.78,303,2121
2023-04-02,Organic,,94,846
2023-03-09,Google Ads,9286.01,162,3240
2023-04-16,fb_ads,5317.51,292,4964
2023-01-26,Email,3783.01,119,2023
2023-04-08,Facebook Ads,5507.47,56,896
2023-05-13,googleads,4424.19,219,4161
2023-02-01,Google Ads,4460.1,76,1444
2023-03-19,fb_ads,,208,3536
2023-02-19,Google Ads,7862.3,179,1074
2023-04-28,googleads,3239.98,221,3536
2023-05-28,fb_ads,,105,1365
2023-03-21,Google Ads,7939.57,150,1500
2023-04-05,fb_ads,1319.47,306,1530
2023-02-05,Google Ads,3991.4,151,1661
2023-04-04,Google Ads,,339,3051
2023-06-08,Email,2421.04,204,3876
2023-04-02,Facebook Ads,6825.24,233,3262
2023-04-13,fb_ads,,63,378
2023-05-02,Facebook Ads,,215,4085
2023-01-26,googleads,3425.65,216,1080
2023-04-28,Google Ads,6363.49,277,3047
2023-01-31,fb_ads,2547.64,375,4125
2023-01-19,Google Ads,,199,1393
2023-02-21,Google Ads,7179.07,389,3112
2023-03-29,Organic,2122.56,181,1629
2023-04-25,Email,,215,1075
2023-03-25,fb_ads,5730.79,196,1176
2023-04-15,googleads,,36,504
2023-04-09,googleads,5747.07,316,4424
2023-06-03,Facebook Ads,3817.96,235,3055
2023-04-10,Email,1863.71,236,1180
2023-05-07,Email,4213.24,139,1390
2023-06-19,email_marketing,3479.27,168,1176
2023-02-20,Email,5764.87,95,1425
2023-06-30,Email,4205.77,196,3136
2023-06-05,googleads,2801.92,343,3773
2023-02-02,email_marketing,,146,1898
2023-03-30,Google Ads,3043.38,343,6517
2023-05-23,fb_ads,,125,1500
2023-06-16,Email,7212.46,216,2160
2023-04-08,Email,5514.51,172,2752
2023-05-01,email_marketing,3501.17,227,3859
2023-04-27,email_marketing,3909.83,345,3795
2023-06-02,email_marketing,2461.42,322,5152
2023-05-14,Organic,4777.36,223,1338
2023-05-13,Facebook Ads,6666.32,149,2682
2023-02-06,Google Ads,6728.5,16,272
2023-02-25,email_marketing,3560.02,126,1764
2023-05-22,Organic,2492.99,182,3094
2023-05-14,Google Ads,,256,2048
2023-01-30,email_marketing,5481.75,146,1022
2023-02-05,email_marketing,5738.03,209,3553
2023-02-01,email_marketing,6872.11,262,1310
2023-01-13,Facebook Ads,5060.95,128,1536
2023-03-24,email_marketing,3694.1,156,3120
2023-05-14,Google Ads,4369.47,221,2652
2023-04-07,Organic,6430.35,195,1950
2023-04-25,googleads,5032.25,211,2110
2023-01-05,fb_ads,,125,2375
2023-02-07,Facebook Ads,1489.12,144,720
2023-01-21,Organic,5946.29,143,2860
2023-06-07,googleads,4524.39,237,4029
2023-01-25,Email,6041.38,113,678
2023-03-25,fb_ads,6994.12,290,1740
2023-06-15,Email,2740.3,134,1608
2023-03-04,googleads,7382.18,188,2068
2023-06-27,googleads,560.44,88,1496
2023-06-25,Facebook Ads,,106,636
2023-05-25,email_marketing,4173.15,202,4040
2023-01-18,Google Ads,,176,1760
2023-02-06,Organic,7145.08,314,5966
2023-01-30,fb_ads,7868.62,222,2664
2023-05-06,Facebook Ads,1073.42,236,1888
2023-02-27,Email,7096.8,193,1737
2023-03-04,googleads,8489.17,268,3484
2023-01-05,Email,6136.55,286,4290
2023-03-04,Facebook Ads,5666.74,0,0
2023-02-17,googleads,4001.72,295,2655
2023-04-20,googleads,3384.82,182,2366
2023-06-01,Organic,2910.33,342,6156
2023-04-07,Organic,8362.98,129,1548
2023-04-25,Facebook Ads,5294.6,145,1305
2023-04-19,googleads,6229.89,240,2640
2023-06-10,Email,6623.41,226,1582
2023-05-16,Google Ads,10870.81,117,585
2023-02-26,email_marketing,,168,3360
2023-06-23,email_marketing,,80,1440
2023-06-25,googleads,2997.37,126,882
2023-04-28,email_marketing,3090.76,241,2892
2023-03-05,fb_ads,3987.62,185,1480
2023-05-31,googleads,6788.47,138,1518
2023-05-21,Email,4470.91,229,2977
2023-06-11,Facebook Ads,1116.86,9,171
2023-01-21,email_marketing,5692.23,239,3585
2023-05-16,email_marketing,9128.44,212,3180
2023-04-23,googleads,,184,2944
2023-04-08,fb_ads,5594.45,333,2331
2023-02-04,Organic,752.01,233,2796
2023-06-30,email_marketing,9271.17,222,1110
2023-03-02,Google Ads,8301.15,149,1788
2023-04-11,Facebook Ads,4935.91,202,2828
2023-06-04,Google Ads,564.82,106,742
2023-02-28,googleads,2806.25,265,3975
2023-02-18,email_marketing,6744.31,225,2025
2023-04-19,Facebook Ads,6648.21,186,1116
2023-01-04,Google Ads,7403.86,200,2000
2023-01-19,Email,5115.73,178,2492
2023-05-17,Email,6368.9,166,1992
2023-03-18,Facebook Ads,6952.86,109,654
2023-06-22,Google Ads,2802.17,254,1524
2023-05-28,Email,4822.91,163,1141
2023-02-21,Facebook Ads,6780.12,151,2718
2023-01-11,fb_ads,4599.6,311,1555
2023-04-12,Google Ads,,325,2925
2023-05-07,Organic,4435.75,298,4172
2023-04-16,fb_ads,3102.09,127,1270
2023-01-10,fb_ads,299.09,333,6327
2023-05-04,Organic,3272.04,189,2835
2023-06-13,googleads,3179.35,255,4590
2023-06-02,email_marketing,4248.73,95,1900
2023-04-24,googleads,5883.33,85,1190
2023-02-02,Google Ads,3325.19,31,155
2023-05-11,Email,,214,2354
2023-06-04,Email,1070.93,81,729
2023-02-21,email_marketing,4995.26,156,3120
2023-06-01,email_marketing,8984.07,346,5536
2023-03-19,googleads,3264.16,244,1220
2023-04-14,Email,6498.57,152,760
2023-02-27,Facebook Ads,2008.92,199,1990
2023-03-23,fb_ads,4654.31,165,2640
2023-06-09,Organic,5884.63,139,695
2023-06-16,Google Ads,2696,208,2288
2023-01-03,Organic,5771.94,105,525
2023-06-10,fb_ads,6856.18,58,290
2023-03-27,Google Ads,3843.77,179,895
2023-01-25,Email,,154,2310
2023-06-09,Organic,8742.15,131,2620
2023-03-11,Organic,,234,4212
2023-01-27,fb_ads,5184.11,238,4522
2023-02-03,Organic,10059.86,120,600
2023-03-04,Organic,2759.16,139,2085
2023-01-21,Facebook Ads,5064.29,61,1220
2023-03-02,Email,5044.68,335,6700
2023-03-06,Organic,5302.81,176,3344
2023-02-08,email_marketing,3763.68,271,4065
2023-01-25,Email,3348.33,347,5205
2023-05-06,Organic,8866.72,220,3080
2023-03-25,Google Ads,4976.97,282,3948
2023-04-06,fb_ads,7189.6,135,1485
2023-01-29,Organic,,94,1598
2023-02-22,googleads,5818.13,253,3289
2023-05-27,fb_ads,,163,2282
2023-05-07,googleads,2305.49,128,2304
2023-06-27,email_marketing,,141,2256
2023-05-22,googleads,4398.35,69,345
2023-05-16,googleads,,196,2156
2023-02-19,email_marketing,3542.08,184,1104
2023-02-08,Facebook Ads,,134,1206
2023-06-17,googleads,2047.47,344,1720
2023-06-21,fb_ads,3733.45,192,1152
2023-05-20,googleads,7021.68,482,7230
2023-04-07,fb_ads,2511.03,235,1175
2023-04-24,email_marketing,3584.9,156,2340
2023-04-22,Google Ads,,109,1853
2023-01-31,email_marketing,4917.42,82,738
2023-04-28,Email,6893.62,204,1428
2023-02-17,fb_ads,5844.87,162,2916
2023-06-06,Email,4265.59,223,4460
2023-02-05,googleads,2671.9,171,2052
2023-02-28,Email,3280.77,128,1792
2023-03-21,fb_ads,,307,2149
2023-05-26,email_marketing,3626.92,293,4395
2023-04-05,email_marketing,7137.58,97,1843
2023-06-24,Organic,2823.18,404,2828
2023-01-03,Facebook Ads,8501.85,197,2561
2023-03-21,email_marketing,5514.75,149,1043
2023-02-19,fb_ads,5864.71,142,1136
2023-01-19,email_marketing,,94,1034
2023-02-28,googleads,5042.19,109,872
2023-05-15,Google Ads,4865.45,114,1938
2023-01-11,Facebook Ads,3435.29,268,2144
2023-04-11,Organic,,199,1592
2023-01-15,fb_ads,6757.93,238,2142
2023-04-30,fb_ads,,163,2608
2023-03-16,email_marketing,4140.73,95,570
2023-04-19,Facebook Ads,4142.04,277,1662
2023-01-14,Facebook Ads,7599.97,276,3864
2023-03-30,Google Ads,1411.62,286,2574
2023-02-13,fb_ads,1322.96,271,2439
2023-02-10,Email,,256,1792
2023-04-19,fb_ads,2335.1,293,4102
2023-06-02,fb_ads,2070.05,146,1460
2023-05-15,email_marketing,3003.81,59,708
2023-03-22,Organic,5189.06,344,5160
2023-06-28,Email,10333.81,207,3312
2023-02-26,googleads,7233.36,218,4360
2023-05-29,Organic,5997.77,172,1892
2023-04-04,Organic,5390.15,242,2420
2023-02-23,Email,3843.08,193,1351
2023-01-29,fb_ads,4883.14,266,3458
2023-04-23,Organic,2867.94,195,3120
2023-06-06,email_marketing,8824.01,293,2637
2023-06-10,Organic,7698.36,201,2010
2023-04-27,fb_ads,5642,280,1680
2023-03-26,fb_ads,8120.51,43,817
2023-06-11,Google Ads,,304,3344
2023-03-13,fb_ads,4446.22,146,1606
2023-06-17,fb_ads,,155,1395
2023-06-25,fb_ads,2195.26,367,1835
2023-06-07,Facebook Ads,4955.13,195,2535
2023-04-30,email_marketing,6176.15,276,2760
2023-02-04,Facebook Ads,6891.78,285,4560
2023-05-05,fb_ads,3738.31,176,3520
2023-01-27,Email,6538.06,157,2198
2023-03-05,email_marketing,4989.79,231,2541
2023-04-12,Organic,6570.37,57,627
2023-04-21,Google Ads,6429.49,181,1267
2023-03-11,fb_ads,6414.92,262,2096
2023-06-25,email_marketing,8215.83,308,5852
2023-01-20,Email,7693.14,315,4095
2023-03-11,Facebook Ads,5582.76,202,3232
2023-06-07,fb_ads,6745.63,258,1806
2023-06-07,Organic,4381.87,232,4408
2023-03-21,Google Ads,,131,1834
2023-02-06,fb_ads,7580.92,204,2652
2023-03-25,Organic,9097.42,69,828
2023-02-04,Email,3886.44,202,2424
2023-02-04,fb_ads,7274.76,231,3927
2023-05-05,googleads,5620.95,109,654
2023-04-27,googleads,2686.12,225,1800
2023-03-13,Facebook Ads,,157,1884
2023-04-22,Google Ads,6001.83,121,2057
2023-04-30,Organic,8210.71,297,3861
2023-02-26,email_marketing,1857.16,125,1625
2023-02-11,googleads,428.45,137,2603
2023-06-01,Organic,6532.78,166,1328
2023-01-03,Facebook Ads,5921.59,78,1170
2023-05-06,Google Ads,6595.95,155,930
2023-04-17,Organic,5024.34,192,3840
2023-01-02,email_marketing,2456.9,107,963
2023-04-17,email_marketing,,231,2079
2023-03-30,email_marketing,7100.1,225,4050
2023-03-01,fb_ads,,61,793
2023-05-29,fb_ads,,197,3546
2023-05-20,Organic,8906.21,254,2540
2023-06-19,googleads,8072.12,247,2470
2023-04-16,googleads,,209,1672
2023-05-26,fb_ads,5472.45,124,2356
2023-04-06,Facebook Ads,4231.23,183,1098
2023-03-06,Email,8211.24,33,231
2023-04-17,Organic,7411.64,125,1125
2023-03-13,googleads,2255.84,294,2940
2023-01-24,googleads,6463.8,300,5700
2023-01-29,Organic,6601.4,364,6916
2023-03-17,email_marketing,6117.45,187,1870
2023-05-18,Email,5685.85,299,3887
2023-05-20,email_marketing,3441.25,147,2940
2023-02-05,fb_ads,4382.08,31,496
2023-01-21,Facebook Ads,5276.16,49,245
2023-03-25,Organic,5106.12,269,1614
2023-05-20,Google Ads,4046.25,334,5344
2023-04-20,Facebook Ads,,295,5605
2023-06-06,email_marketing,6350.27,62,806
2023-05-23,Organic,10421.59,194,3686
2023-06-29,Facebook Ads,3245.03,87,522
2023-06-11,email_marketing,4559.96,189,2079
2023-06-12,Facebook Ads,5205.29,176,2816
2023-05-20,Email,,168,2016
2023-05-15,Google Ads,,188,3760
2023-01-10,Email,,228,2280
2023-05-20,Google Ads,,213,2769
2023-02-21,Facebook Ads,7628.15,124,2480
2023-06-13,email_marketing,7122.51,165,1980
2023-04-24,Organic,8506.39,170,2040
2023-05-22,Organic,3319.01,254,3556
2023-05-29,Google Ads,4128.42,132,2376
2023-05-15,Google Ads,4044.32,196,2156
2023-02-06,Organic,7684.36,45,540
2023-01-27,Organic,5046.16,249,1992
2023-05-08,Organic,5386.9,304,5168
2023-04-26,Facebook Ads,4851.31,185,2220
2023-04-02,fb_ads,6184.66,207,3519
2023-05-13,email_marketing,4219.18,241,2410
2023-02-12,googleads,,151,2869
2023-04-13,email_marketing,3944.01,308,6160
2023-05-05,googleads,1442.03,231,1386
2023-03-21,googleads,5068.54,65,975
2023-04-26,Organic,,238,4522
2023-02-05,googleads,6179.28,12,216
2023-06-22,Google Ads,7732.78,140,1820
2023-03-01,fb_ads,,259,3108
2023-01-05,Google Ads,3246.61,252,4032
2023-04-07,Google Ads,,34,306
2023-05-31,Organic,7335.48,137,959
2023-06-13,googleads,3291.01,167,3006
2023-02-18,Google Ads,5544.47,195,2535
2023-06-13,email_marketing,6096.13,92,1196
2023-02-08,email_marketing,3515.23,190,3420
2023-06-22,Facebook Ads,,190,1520
2023-03-26,email_marketing,7170.44,203,1218
2023-01-02,googleads,,180,1980
2023-06-11,Organic,,248,2480
2023-06-29,email_marketing,7749.22,228,1140
2023-04-16,Google Ads,7374.16,122,1098
2023-06-06,googleads,4170.74,142,852
2023-05-21,email_marketing,5628.89,171,2394
2023-03-25,email_marketing,6459.55,125,2500
2023-01-04,Organic,5086.06,254,1524
2023-05-01,googleads,869.39,369,7380
2023-05-14,Google Ads,4433.7,37,296
2023-03-28,Email,5316.19,202,2828
2023-04-18,googleads,4836.21,279,2790
2023-03-30,Facebook Ads,6494.89,223,1115
2023-02-27,fb_ads,5900.31,191,955
2023-04-19,Email,8550.98,81,648
2023-03-08,email_marketing,5279.3,205,1025
2023-05-14,Organic,6626.56,132,2112
2023-01-25,fb_ads,1512.65,212,4240
2023-05-25,fb_ads,5562.46,319,2871
2023-05-29,googleads,2459.28,292,3504
2023-03-14,email_marketing,9734.83,169,3042
2023-05-19,Facebook Ads,2418.12,167,2171
2023-06-18,fb_ads,,245,2695
2023-03-18,googleads,3817.21,324,1620
2023-04-11,email_marketing,2770.94,60,1020
2023-06-17,Facebook Ads,7213.42,18,90
2023-01-26,email_marketing,4591.74,449,6286
2023-06-21,Organic,4975.91,110,1980
2023-05-30,Email,4885.21,195,3120
2023-05-27,fb_ads,5321.3,252,1260
2023-01-23,googleads,2921.78,335,4355
2023-01-14,Email,5490.23,258,3354
2023-04-08,Facebook Ads,3743.7,302,2718
2023-06-22,Facebook Ads,4485.9,222,3774
2023-06-25,Facebook Ads,,120,2280
2023-01-16,googleads,6376.41,164,1148
2023-03-16,email_marketing,3292.35,148,1776
2023-01-16,Facebook Ads,6397.91,149,2235
2023-02-17,fb_ads,4764.69,201,1206
2023-01-10,Google Ads,1165.3,82,1558
2023-04-28,email_marketing,5672.56,141,2679
2023-02-07,googleads,7113.45,277,1939
2023-01-03,fb_ads,6438.34,345,6210
2023-03-19,Organic,4833.82,251,1757
2023-02-21,Google Ads,3831.2,396,2772
2023-06-26,email_marketing,8967.27,200,3600
2023-03-11,googleads,5773.17,308,5544
2023-03-03,googleads,,147,2646
2023-05-31,Google Ads,6747.98,206,2472
2023-06-02,Organic,5365.99,133,2394
2023-02-11,fb_ads,1564.66,218,1962
2023-05-22,Google Ads,6809.92,181,2353
2023-03-19,Organic,7872.86,143,2717
2023-06-22,googleads,2890.59,194,1164
2023-05-06,Google Ads,4834.81,261,3654
2023-05-23,fb_ads,3450.07,309,5871
2023-01-23,email_marketing,8933.83,196,3528
2023-03-13,Google Ads,7499.42,115,920
2023-04-18,Google Ads,7150.44,283,3679
2023-06-22,Email,6726.87,198,1386
2023-06-19,googleads,908.5,148,2664
2023-02-07,googleads,3748.17,121,605
2023-06-19,googleads,5244.49,166,3154
2023-05-11,Google Ads,3350.78,115,805
