event_id,user_id,session_id,event_name,event_timestamp,traffic_source,device_category,country
evt_30,user_1991,sess_6685,page_view,2023-06-28 00:52:00,G-Ads,mobile,
evt_31,user_1947,sess_4504,add_to_cart,2023-02-18 06:03:00,Organic,mobile,France
evt_32,user_3094,sess_5980,add_to_cart,2023-05-10 18:55:00,fbads,desktop,
evt_33,user_2662,sess_3060,scroll,2023-06-13 18:28:00,organic_search,mobile,US
evt_34,user_921,sess_525,purchase,2023-01-04 19:54:00,Facebook Ads,tablet,US
evt_35,user_30,sess_582,page_view,2023-02-11 16:15:00,googleads,mobile,UK
evt_36,user_291,sess_4212,add_to_cart,2023-02-20 16:41:00,organic_search,mobile,France
evt_37,user_542,sess_5926,session_start,2023-04-15 21:30:00,organic_search,mobile,Germany
evt_38,user_3308,sess_3335,add_to_cart,2023-01-18 04:06:00,googleads,tablet,Germany
evt_39,user_1452,sess_3470,scroll,2023-03-27 00:27:00,Google Ads,tablet,
evt_40,user_2647,sess_807,page_view,2023-03-15 07:04:00,Email,mobile,US
evt_41,user_785,sess_1559,session_start,2023-03-23 16:01:00,G-Ads,desktop,US
evt_42,user_1141,sess_3790,add_to_cart,2023-06-09 04:41:00,googleads,desktop,France
evt_43,user_402,sess_415,session_start,2023-06-02 04:39:00,Google Ads,mobile,US
evt_44,user_682,sess_3330,scroll,2023-03-29 15:05:00,Facebook Ads,desktop,India
evt_45,user_675,sess_3105,page_view,2023-06-29 08:52:00,Organic,desktop,Germany
evt_46,user_1169,sess_3466,session_start,2023-05-01 11:45:00,organic_search,mobile,US
evt_47,user_1216,sess_1784,page_view,2023-04-16 10:28:00,Google Ads,tablet,UK
evt_48,user_235,sess_411,session_start,2023-03-28 19:07:00,G-Ads,mobile,France
evt_49,user_329,sess_6975,add_to_cart,2023-01-13 11:22:00,googleads,tablet,US
evt_50,user_1654,sess_983,session_start,2023-02-14 19:43:00,Google Ads,tablet,India
evt_51,user_1718,sess_5386,session_start,2023-04-13 21:30:00,Email,desktop,US
evt_52,user_2744,sess_5868,purchase,2023-02-13 10:50:00,fbads,desktop,US
evt_53,user_2752,sess_5288,purchase,2023-03-25 05:38:00,Email,mobile,India
evt_54,user_1878,sess_5089,session_start,2023-01-19 04:49:00,googleads,tablet,US
evt_55,user_2073,sess_2173,add_to_cart,2023-06-19 21:28:00,Email,mobile,US
evt_56,user_1514,sess_2335,add_to_cart,2023-03-21 18:27:00,fbads,tablet,
evt_57,user_2167,sess_65,session_start,2023-02-24 12:00:00,googleads,mobile,UK
evt_58,user_473,sess_877,session_start,2023-01-29 07:09:00,fbads,desktop,France
evt_59,user_863,sess_5879,purchase,2023-02-07 01:31:00,fbads,tablet,Germany
evt_60,user_1029,sess_6932,page_view,2023-01-17 19:15:00,Organic,desktop,India
evt_61,user_15,sess_2733,add_to_cart,2023-04-26 23:35:00,fbads,mobile,
evt_62,user_1810,sess_4520,scroll,2023-04-13 02:38:00,Google Ads,mobile,India
evt_63,user_3871,sess_5661,add_to_cart,2023-04-10 07:43:00,Google Ads,desktop,France
evt_64,user_2264,sess_1214,scroll,2023-01-24 04:49:00,Google Ads,desktop,UK
evt_65,user_3683,sess_6522,page_view,2023-06-13 15:27:00,Email,mobile,
evt_66,user_1023,sess_5464,page_view,2023-03-06 09:14:00,Organic,tablet,
evt_67,user_634,sess_1940,add_to_cart,2023-06-27 17:06:00,G-Ads,desktop,India
evt_68,user_735,sess_6034,purchase,2023-05-23 10:17:00,Organic,tablet,
evt_69,user_3321,sess_2033,purchase,2023-01-29 23:32:00,googleads,desktop,India
evt_70,user_3517,sess_3856,add_to_cart,2023-02-06 07:56:00,organic_search,desktop,UK
evt_71,user_3361,sess_6516,add_to_cart,2023-02-10 13:58:00,Google Ads,tablet,US
evt_72,user_1633,sess_2690,purchase,2023-06-07 08:24:00,googleads,desktop,UK
evt_73,user_2628,sess_4174,scroll,2023-05-04 16:51:00,Email,mobile,India
evt_74,user_3593,sess_2140,add_to_cart,2023-04-16 16:38:00,fbads,mobile,India
evt_75,user_2444,sess_3560,purchase,2023-05-13 15:03:00,Email,desktop,France
evt_76,user_2095,sess_948,scroll,2023-06-13 17:59:00,Facebook Ads,desktop,India
evt_77,user_2904,sess_3573,page_view,2023-04-05 15:33:00,Facebook Ads,desktop,Germany
evt_78,user_287,sess_5442,purchase,2023-04-24 10:36:00,Email,tablet,India
evt_79,user_2949,sess_2461,session_start,2023-02-26 07:17:00,Organic,desktop,Germany
evt_80,user_2856,sess_2423,session_start,2023-01-24 04:07:00,Facebook Ads,desktop,
evt_81,user_3852,sess_3106,add_to_cart,2023-04-23 01:13:00,fbads,desktop,France
evt_82,user_3415,sess_4,purchase,2023-02-22 05:32:00,Facebook Ads,desktop,France
evt_83,user_2485,sess_5364,purchase,2023-03-26 15:33:00,organic_search,desktop,
evt_84,user_876,sess_4188,scroll,2023-05-25 11:52:00,G-Ads,tablet,India
evt_85,user_1163,sess_4223,session_start,2023-03-03 00:27:00,googleads,mobile,
evt_86,user_1272,sess_1841,add_to_cart,2023-01-27 19:47:00,Google Ads,mobile,US
evt_87,user_1947,sess_5008,page_view,2023-03-24 21:44:00,Organic,tablet,France
evt_88,user_797,sess_5885,scroll,2023-03-31 23:58:00,Organic,mobile,US
evt_89,user_2688,sess_5634,page_view,2023-06-12 12:05:00,googleads,desktop,US
evt_90,user_721,sess_6588,session_start,2023-03-26 13:38:00,Google Ads,tablet,US
evt_91,user_3758,sess_6950,page_view,2023-03-25 02:18:00,G-Ads,desktop,
evt_92,user_2176,sess_4579,session_start,2023-02-27 18:17:00,organic_search,tablet,
evt_93,user_3654,sess_4136,scroll,2023-06-01 04:48:00,organic_search,mobile,
evt_94,user_3529,sess_3889,scroll,2023-02-17 04:25:00,Facebook Ads,tablet,UK
evt_95,user_3137,sess_6371,session_start,2023-03-30 05:14:00,Facebook Ads,desktop,Germany
evt_96,user_318,sess_5846,purchase,2023-02-12 16:31:00,fbads,desktop,UK
evt_97,user_3658,sess_4425,page_view,2023-01-26 04:33:00,G-Ads,mobile,Germany
evt_98,user_2843,sess_1252,add_to_cart,2023-01-12 16:37:00,Organic,desktop,UK
evt_99,user_2223,sess_3817,scroll,2023-01-12 08:02:00,Facebook Ads,desktop,Germany
evt_100,user_3707,sess_6307,session_start,2023-06-22 05:24:00,Google Ads,tablet,Germany
evt_101,user_1954,sess_49,purchase,2023-02-24 08:39:00,Organic,desktop,France
evt_102,user_3062,sess_6019,session_start,2023-05-26 14:40:00,Facebook Ads,desktop,US
evt_103,user_1118,sess_3571,scroll,2023-01-06 06:48:00,Organic,desktop,
evt_104,user_2782,sess_6539,scroll,2023-05-12 19:59:00,G-Ads,desktop,US
evt_105,user_2549,sess_4376,page_view,2023-06-15 02:25:00,Organic,tablet,France
evt_106,user_2716,sess_223,page_view,2023-04-28 00:12:00,Organic,mobile,Germany
evt_107,user_745,sess_412,purchase,2023-03-11 00:19:00,Email,mobile,Germany
evt_108,user_1339,sess_2765,scroll,2023-02-20 15:43:00,Organic,desktop,India
evt_109,user_1927,sess_159,session_start,2023-01-10 11:33:00,Email,mobile,
evt_110,user_282,sess_6400,page_view,2023-05-18 07:17:00,Google Ads,mobile,US
evt_111,user_3438,sess_167,session_start,2023-01-28 17:46:00,Facebook Ads,mobile,Germany
evt_112,user_2743,sess_938,session_start,2023-06-22 12:48:00,Facebook Ads,desktop,
evt_113,user_1050,sess_6283,purchase,2023-01-31 13:04:00,googleads,mobile,UK
evt_114,user_443,sess_4741,page_view,2023-06-19 02:22:00,fbads,tablet,
evt_115,user_3720,sess_3075,scroll,2023-06-21 09:20:00,Facebook Ads,mobile,France
evt_116,user_2829,sess_6805,add_to_cart,2023-01-19 13:12:00,fbads,tablet,France
evt_117,user_3300,sess_992,session_start,2023-05-23 11:23:00,Google Ads,desktop,France
evt_118,user_1755,sess_5420,purchase,2023-01-13 13:16:00,Email,mobile,Germany
evt_119,user_3369,sess_4016,page_view,2023-03-20 22:05:00,Email,tablet,Germany
evt_120,user_2898,sess_1254,scroll,2023-02-02 01:33:00,fbads,tablet,France
evt_121,user_3173,sess_3961,scroll,2023-03-21 07:03:00,fbads,desktop,US
evt_122,user_3403,sess_710,purchase,2023-06-10 11:54:00,organic_search,mobile,Germany
evt_123,user_2335,sess_5000,scroll,2023-03-03 05:44:00,Google Ads,desktop,UK
evt_124,user_745,sess_3995,add_to_cart,2023-03-06 14:15:00,fbads,desktop,UK
evt_125,user_3606,sess_4884,purchase,2023-04-12 04:17:00,Google Ads,tablet,US
evt_126,user_351,sess_1978,scroll,2023-03-30 22:37:00,Facebook Ads,tablet,Germany
evt_127,user_2646,sess_5832,scroll,2023-03-23 14:06:00,Google Ads,mobile,UK
evt_128,user_908,sess_3313,add_to_cart,2023-02-25 17:50:00,Email,desktop,France
evt_129,user_2175,sess_2817,scroll,2023-05-16 19:02:00,Email,desktop,
evt_130,user_1859,sess_2220,purchase,2023-02-15 18:23:00,Facebook Ads,mobile,
evt_131,user_789,sess_2585,page_view,2023-05-16 05:41:00,G-Ads,mobile,US
evt_132,user_3026,sess_3967,purchase,2023-05-12 21:45:00,fbads,mobile,US
evt_133,user_1214,sess_1864,purchase,2023-02-02 15:59:00,fbads,mobile,
evt_134,user_2188,sess_1037,purchase,2023-01-09 06:51:00,Google Ads,tablet,UK
evt_135,user_2857,sess_1035,scroll,2023-01-19 16:12:00,Google Ads,tablet,UK
evt_136,user_1923,sess_3922,scroll,2023-03-04 00:34:00,G-Ads,mobile,UK
evt_137,user_3855,sess_3914,page_view,2023-05-30 15:52:00,googleads,desktop,Germany
evt_138,user_304,sess_4727,page_view,2023-01-28 14:54:00,G-Ads,tablet,UK
evt_139,user_349,sess_2034,page_view,2023-04-12 14:15:00,Organic,tablet,France
evt_140,user_3239,sess_5067,add_to_cart,2023-05-22 05:03:00,Organic,desktop,Germany
evt_141,user_1218,sess_4822,scroll,2023-02-25 14:13:00,Google Ads,tablet,
evt_142,user_407,sess_6249,add_to_cart,2023-04-24 20:55:00,Facebook Ads,desktop,
evt_143,user_333,sess_1287,add_to_cart,2023-02-01 15:24:00,googleads,mobile,India
evt_144,user_1674,sess_3691,session_start,2023-03-27 13:04:00,fbads,mobile,US
evt_145,user_1181,sess_5792,purchase,2023-05-08 23:23:00,organic_search,mobile,
evt_146,user_957,sess_2168,session_start,2023-05-01 08:45:00,Facebook Ads,desktop,India
evt_147,user_2231,sess_1842,add_to_cart,2023-06-15 08:54:00,fbads,mobile,India
evt_148,user_245,sess_1360,purchase,2023-04-19 07:47:00,fbads,desktop,India
evt_149,user_1920,sess_5642,purchase,2023-05-08 09:10:00,Organic,desktop,France
evt_150,user_2212,sess_4046,scroll,2023-01-15 15:27:00,Google Ads,desktop,
evt_151,user_1321,sess_4946,purchase,2023-01-05 17:00:00,googleads,mobile,
evt_152,user_3425,sess_4713,session_start,2023-06-23 02:02:00,Google Ads,tablet,UK
evt_153,user_2361,sess_330,add_to_cart,2023-03-27 15:38:00,organic_search,desktop,US
evt_154,user_2398,sess_3571,scroll,2023-06-26 09:52:00,googleads,desktop,UK
evt_155,user_1673,sess_2731,purchase,2023-05-02 23:51:00,googleads,mobile,UK
evt_156,user_1687,sess_5683,scroll,2023-02-22 11:14:00,Organic,tablet,India
evt_157,user_1863,sess_722,purchase,2023-02-15 22:44:00,Email,mobile,Germany
evt_158,user_3543,sess_4216,page_view,2023-04-30 17:21:00,organic_search,desktop,India
evt_159,user_769,sess_4248,purchase,2023-04-24 08:19:00,organic_search,tablet,Germany
evt_160,user_3113,sess_423,add_to_cart,2023-02-18 14:47:00,G-Ads,desktop,Germany
evt_161,user_3608,sess_5721,scroll,2023-01-23 02:31:00,Google Ads,tablet,France
evt_162,user_3274,sess_1961,add_to_cart,2023-02-26 13:41:00,Google Ads,tablet,Germany
evt_163,user_382,sess_1841,page_view,2023-03-26 00:05:00,googleads,tablet,US
evt_164,user_2042,sess_5871,purchase,2023-04-03 15:17:00,fbads,desktop,Germany
evt_165,user_1935,sess_1997,scroll,2023-04-11 08:30:00,G-Ads,desktop,US
evt_166,user_3776,sess_4911,session_start,2023-05-16 20:36:00,G-Ads,mobile,UK
evt_167,user_3165,sess_6472,scroll,2023-03-03 20:56:00,fbads,mobile,UK
evt_168,user_2974,sess_2446,session_start,2023-04-16 13:43:00,organic_search,mobile,Germany
evt_169,user_2207,sess_3968,purchase,2023-03-02 12:27:00,Organic,desktop,UK
evt_170,user_3562,sess_1546,add_to_cart,2023-04-15 02:13:00,Organic,mobile,Germany
evt_171,user_179,sess_2607,scroll,2023-05-09 09:11:00,Organic,desktop,
evt_172,user_3246,sess_6724,add_to_cart,2023-04-01 04:07:00,Google Ads,mobile,France
evt_173,user_3955,sess_4835,purchase,2023-06-08 07:46:00,googleads,desktop,India
evt_174,user_2155,sess_3744,page_view,2023-05-12 12:24:00,G-Ads,desktop,
evt_175,user_3973,sess_1265,page_view,2023-03-27 11:14:00,fbads,desktop,France
evt_176,user_2838,sess_3257,page_view,2023-06-05 01:25:00,Email,tablet,France
evt_177,user_1557,sess_2595,scroll,2023-06-08 19:29:00,Google Ads,tablet,India
evt_178,user_962,sess_5171,purchase,2023-02-11 09:54:00,googleads,desktop,India
evt_179,user_3115,sess_5192,page_view,2023-03-22 18:27:00,G-Ads,tablet,UK
evt_180,user_3701,sess_238,page_view,2023-03-01 01:12:00,Google Ads,desktop,UK
evt_181,user_1536,sess_3529,add_to_cart,2023-02-14 10:54:00,Organic,tablet,
evt_182,user_3247,sess_1476,add_to_cart,2023-02-01 20:53:00,googleads,tablet,Germany
evt_183,user_2539,sess_5597,add_to_cart,2023-04-01 14:20:00,G-Ads,mobile,Germany
evt_184,user_2613,sess_2081,scroll,2023-02-16 11:32:00,Google Ads,desktop,UK
evt_185,user_2776,sess_4478,add_to_cart,2023-01-14 10:42:00,organic_search,desktop,France
evt_186,user_1226,sess_5235,scroll,2023-05-06 16:01:00,fbads,desktop,UK
evt_187,user_816,sess_3152,scroll,2023-01-20 09:58:00,Facebook Ads,desktop,France
evt_188,user_1471,sess_4709,purchase,2023-05-08 07:11:00,fbads,mobile,
evt_189,user_1622,sess_2249,page_view,2023-04-14 00:34:00,Google Ads,tablet,
evt_190,user_2035,sess_6823,purchase,2023-05-22 05:15:00,Facebook Ads,tablet,UK
evt_191,user_898,sess_5216,add_to_cart,2023-04-24 00:42:00,fbads,tablet,
evt_192,user_3144,sess_5401,add_to_cart,2023-04-25 08:51:00,googleads,tablet,
evt_193,user_162,sess_2531,scroll,2023-01-07 01:46:00,Email,tablet,US
evt_194,user_370,sess_2418,purchase,2023-05-17 01:47:00,Organic,mobile,US
evt_195,user_542,sess_6444,session_start,2023-06-09 13:18:00,Email,tablet,France
evt_196,user_3742,sess_2233,add_to_cart,2023-02-16 18:43:00,organic_search,desktop,
evt_197,user_3566,sess_2775,page_view,2023-03-27 06:10:00,googleads,mobile,US
evt_198,user_3524,sess_5541,scroll,2023-06-26 02:03:00,Email,mobile,Germany
evt_199,user_58,sess_2167,session_start,2023-01-23 11:58:00,organic_search,desktop,
evt_200,user_3068,sess_5508,purchase,2023-04-17 09:58:00,Organic,tablet,UK
evt_201,user_444,sess_5529,add_to_cart,2023-03-27 19:54:00,Google Ads,tablet,France
evt_202,user_1344,sess_4998,add_to_cart,2023-04-28 21:38:00,googleads,tablet,Germany
evt_203,user_3725,sess_5744,purchase,2023-04-29 04:34:00,Organic,mobile,US
evt_204,user_186,sess_305,purchase,2023-03-31 16:18:00,googleads,mobile,US
evt_205,user_3635,sess_4404,add_to_cart,2023-03-12 18:01:00,organic_search,desktop,
evt_206,user_3889,sess_6088,session_start,2023-03-18 07:11:00,G-Ads,desktop,
evt_207,user_406,sess_6830,scroll,2023-04-23 01:49:00,Organic,desktop,India
evt_208,user_2828,sess_3036,add_to_cart,2023-03-22 17:10:00,organic_search,mobile,UK
evt_209,user_407,sess_5618,purchase,2023-04-10 02:48:00,Email,mobile,Germany
evt_210,user_1131,sess_1555,page_view,2023-06-22 18:17:00,organic_search,mobile,
evt_211,user_869,sess_5257,session_start,2023-06-26 18:46:00,Google Ads,mobile,UK
evt_212,user_998,sess_1032,session_start,2023-02-07 08:33:00,googleads,tablet,US
evt_213,user_2402,sess_1770,add_to_cart,2023-03-01 19:29:00,G-Ads,tablet,India
evt_214,user_1136,sess_1186,add_to_cart,2023-04-09 08:14:00,fbads,mobile,India
evt_215,user_2708,sess_212,add_to_cart,2023-01-03 16:55:00,Email,mobile,France
evt_216,user_1327,sess_130,add_to_cart,2023-02-18 07:24:00,Google Ads,mobile,
evt_217,user_1725,sess_4310,page_view,2023-05-16 17:51:00,googleads,desktop,Germany
evt_218,user_3187,sess_2966,session_start,2023-04-19 01:45:00,googleads,desktop,France
evt_219,user_908,sess_5039,page_view,2023-05-13 09:22:00,fbads,desktop,
evt_220,user_3949,sess_256,page_view,2023-03-29 04:42:00,Organic,desktop,
evt_221,user_443,sess_4017,scroll,2023-01-14 09:05:00,googleads,desktop,France
evt_222,user_608,sess_539,add_to_cart,2023-02-20 01:33:00,Email,desktop,France
evt_223,user_2174,sess_2416,scroll,2023-04-03 00:47:00,Organic,mobile,
evt_224,user_469,sess_6987,session_start,2023-05-12 05:23:00,Facebook Ads,desktop,Germany
evt_225,user_3638,sess_1872,scroll,2023-03-03 16:48:00,organic_search,desktop,Germany
evt_226,user_2989,sess_779,purchase,2023-03-19 16:33:00,Email,tablet,UK
evt_227,user_1534,sess_1251,scroll,2023-01-13 05:18:00,googleads,mobile,India
evt_228,user_1769,sess_792,purchase,2023-05-28 18:40:00,G-Ads,tablet,India
evt_229,user_2403,sess_4601,session_start,2023-03-02 00:14:00,googleads,desktop,UK
evt_230,user_3579,sess_5451,scroll,2023-06-08 00:45:00,Google Ads,desktop,France
evt_231,user_1280,sess_2881,page_view,2023-04-16 04:57:00,Facebook Ads,mobile,
evt_232,user_1976,sess_1838,page_view,2023-03-05 17:40:00,Email,mobile,UK
evt_233,user_2352,sess_1853,scroll,2023-06-03 20:32:00,Google Ads,tablet,
evt_234,user_3398,sess_5681,purchase,2023-01-06 06:29:00,G-Ads,desktop,
evt_235,user_3123,sess_2532,purchase,2023-03-05 21:38:00,Google Ads,mobile,US
evt_236,user_2320,sess_5385,scroll,2023-01-13 16:01:00,G-Ads,tablet,
evt_237,user_3981,sess_252,page_view,2023-05-16 19:48:00,Facebook Ads,desktop,Germany
evt_238,user_1859,sess_2793,add_to_cart,2023-03-09 08:47:00,fbads,tablet,UK
evt_239,user_3182,sess_4650,session_start,2023-01-16 11:10:00,Google Ads,mobile,US
evt_240,user_3091,sess_5062,page_view,2023-05-03 16:36:00,googleads,desktop,Germany
evt_241,user_2712,sess_3474,scroll,2023-04-21 12:21:00,organic_search,desktop,UK
evt_242,user_883,sess_6185,session_start,2023-01-21 17:16:00,Email,desktop,India
evt_243,user_1161,sess_5556,session_start,2023-03-30 14:07:00,fbads,mobile,US
evt_244,user_1619,sess_4910,page_view,2023-01-02 09:35:00,Facebook Ads,desktop,US
evt_245,user_3144,sess_1125,purchase,2023-02-22 16:36:00,Email,mobile,India
evt_246,user_2038,sess_6120,scroll,2023-02-01 23:37:00,G-Ads,desktop,France
evt_247,user_2883,sess_1886,session_start,2023-04-12 17:06:00,Email,mobile,Germany
evt_248,user_3530,sess_6079,page_view,2023-03-21 09:52:00,Google Ads,desktop,India
evt_249,user_3532,sess_2565,session_start,2023-03-20 03:34:00,Organic,tablet,
evt_250,user_1711,sess_2372,page_view,2023-03-15 17:36:00,Google Ads,desktop,US
evt_251,user_3283,sess_5064,scroll,2023-06-01 11:10:00,Email,mobile,Germany
evt_252,user_3460,sess_868,add_to_cart,2023-03-21 07:29:00,Organic,tablet,India
evt_253,user_1622,sess_2542,purchase,2023-02-10 08:03:00,Email,mobile,India
evt_254,user_2091,sess_5188,page_view,2023-04-07 14:14:00,Facebook Ads,desktop,UK
evt_255,user_2980,sess_6709,add_to_cart,2023-02-13 00:16:00,googleads,mobile,UK
evt_256,user_809,sess_1422,session_start,2023-01-28 19:53:00,googleads,mobile,
evt_257,user_2024,sess_3801,session_start,2023-05-19 07:57:00,organic_search,tablet,France
evt_258,user_2634,sess_5205,session_start,2023-02-28 20:07:00,Email,mobile,Germany
evt_259,user_280,sess_3842,scroll,2023-04-25 22:33:00,fbads,desktop,France
evt_260,user_231,sess_2884,session_start,2023-01-14 12:08:00,fbads,desktop,Germany
evt_261,user_155,sess_467,purchase,2023-06-01 09:44:00,fbads,mobile,
evt_262,user_3540,sess_740,session_start,2023-04-19 03:34:00,Organic,desktop,France
evt_263,user_2271,sess_6487,page_view,2023-03-23 20:54:00,Facebook Ads,desktop,France
evt_264,user_1949,sess_4108,add_to_cart,2023-06-24 08:21:00,Google Ads,desktop,India
evt_265,user_3322,sess_6860,purchase,2023-06-28 20:06:00,googleads,tablet,
evt_266,user_707,sess_321,add_to_cart,2023-05-09 19:38:00,organic_search,desktop,France
evt_267,user_2142,sess_4996,add_to_cart,2023-03-08 05:53:00,Email,desktop,Germany
evt_268,user_1675,sess_6345,purchase,2023-05-04 14:08:00,Google Ads,tablet,
evt_269,user_1371,sess_540,purchase,2023-01-18 04:54:00,Organic,desktop,UK
evt_270,user_2965,sess_6977,session_start,2023-06-08 23:25:00,G-Ads,desktop,India
evt_271,user_2387,sess_5437,add_to_cart,2023-06-16 21:19:00,Email,desktop,
evt_272,user_2861,sess_5425,scroll,2023-01-24 11:23:00,googleads,desktop,France
evt_273,user_1543,sess_5272,purchase,2023-05-29 00:51:00,G-Ads,tablet,
evt_274,user_3396,sess_6053,session_start,2023-01-18 00:18:00,Organic,tablet,UK
evt_275,user_75,sess_2971,purchase,2023-02-02 19:34:00,Facebook Ads,desktop,Germany
evt_276,user_787,sess_1856,add_to_cart,2023-01-29 04:57:00,googleads,desktop,India
evt_277,user_2080,sess_6316,session_start,2023-06-02 00:41:00,Google Ads,tablet,UK
evt_278,user_3590,sess_6278,session_start,2023-01-24 20:33:00,Organic,mobile,US
evt_279,user_741,sess_6811,session_start,2023-05-28 06:45:00,G-Ads,tablet,Germany
evt_280,user_179,sess_3366,purchase,2023-05-04 03:04:00,Facebook Ads,desktop,France
evt_281,user_1168,sess_6164,scroll,2023-02-12 14:22:00,Facebook Ads,desktop,Germany
evt_282,user_3703,sess_6842,add_to_cart,2023-03-08 23:07:00,organic_search,desktop,UK
evt_283,user_3188,sess_3129,session_start,2023-04-07 00:30:00,Organic,mobile,US
evt_284,user_3282,sess_4954,add_to_cart,2023-06-08 22:12:00,fbads,mobile,
evt_285,user_1969,sess_3041,session_start,2023-06-20 01:59:00,googleads,tablet,France
evt_286,user_3487,sess_1022,purchase,2023-01-16 06:27:00,G-Ads,desktop,Germany
evt_287,user_3709,sess_4206,add_to_cart,2023-06-01 06:53:00,Organic,mobile,US
evt_288,user_3346,sess_3696,purchase,2023-06-19 09:17:00,Google Ads,desktop,India
evt_289,user_1624,sess_4113,purchase,2023-02-12 22:07:00,Organic,mobile,UK
evt_290,user_920,sess_231,purchase,2023-06-19 10:50:00,googleads,tablet,
evt_291,user_1374,sess_6483,add_to_cart,2023-01-26 01:10:00,Google Ads,desktop,Germany
evt_292,user_2852,sess_6809,add_to_cart,2023-05-19 03:25:00,organic_search,desktop,France
evt_293,user_22,sess_650,page_view,2023-02-16 14:08:00,Facebook Ads,mobile,France
evt_294,user_3852,sess_5958,session_start,2023-04-07 01:52:00,Organic,mobile,UK
evt_295,user_974,sess_2468,page_view,2023-01-09 16:37:00,Facebook Ads,desktop,
evt_296,user_3252,sess_5103,scroll,2023-01-12 10:24:00,googleads,desktop,France
evt_297,user_2196,sess_135,session_start,2023-04-15 16:25:00,Facebook Ads,tablet,US
evt_298,user_1194,sess_3517,page_view,2023-04-22 22:08:00,Email,mobile,France
evt_299,user_1707,sess_1535,page_view,2023-04-06 07:08:00,Email,mobile,France
evt_300,user_2229,sess_4157,session_start,2023-04-11 21:07:00,Google Ads,desktop,Germany
evt_301,user_179,sess_5208,scroll,2023-06-28 14:13:00,Email,desktop,
evt_302,user_67,sess_2926,page_view,2023-03-04 18:27:00,Facebook Ads,tablet,
evt_303,user_2574,sess_850,session_start,2023-05-14 20:04:00,Email,mobile,India
evt_304,user_1444,sess_4473,purchase,2023-05-29 02:16:00,G-Ads,tablet,Germany
evt_305,user_2849,sess_3921,add_to_cart,2023-05-28 17:29:00,G-Ads,mobile,
evt_306,user_3180,sess_3750,page_view,2023-02-23 10:04:00,Facebook Ads,mobile,US
evt_307,user_3629,sess_344,purchase,2023-06-19 21:57:00,fbads,tablet,Germany
evt_308,user_3340,sess_4449,scroll,2023-02-16 02:44:00,Google Ads,tablet,US
evt_309,user_1172,sess_2925,page_view,2023-06-07 14:43:00,Email,desktop,India
evt_310,user_3275,sess_3015,scroll,2023-06-11 22:13:00,Organic,tablet,Germany
evt_311,user_3665,sess_3168,purchase,2023-06-27 06:15:00,G-Ads,desktop,
evt_312,user_2038,sess_3010,session_start,2023-02-18 13:19:00,googleads,tablet,Germany
evt_313,user_324,sess_3528,session_start,2023-05-30 16:51:00,G-Ads,tablet,UK
